END,EOL,,ROUTER,,,TYPE,,,SPECS,,,,,,DIMENSIONS (INCHES),,,PORTS / CHANNELS / SLOTS,,,,,,,,,,,,,,PERFORMANCE,,MEMORY MB,,,,THROUGHPUT - MBPS,,MAXIMUM STREAMS / CHANNELS,,,,,,,,FEATURES,,,,,,,,,,
SKU,EOL,YEAR,MAKE,SERIES,MODEL,A,B,C,IOS,BASE,USERS,SLOTS,RU,POE(W),HEIGHT,WIDTH,DEPTH,LAN,TP,WAN,TP,LAN/WAN,RJ-45,SFP,PVDM,VPN,USB,BRI VOICE,FXS,FXO,DSP,KPPS,MPPS,RAM MIN,RAM MAX,FLASH MIN,FLASH MAX,MIN,MAX,SRST,CUCM,CCME,CUBE,CUE,TCP,IPSEC,T1/E1,SECURITY,VOICE,QoS,3G/4G,GPS,RPS,EXTERNAL,WIRELESS,PRICE,NOTES,DATASHEET
CISCO7603,OK,2016,Cisco,7600,7603,Datacentre,Router,Router,12.1 (8a),,,,4,,,,,2,10/100/1000,1,,3,,,,,,,,,,,15,,,,,32000,32000,,,,,,,,,,,,,,YES,,,"$2,500",,http://www.cisco.com/c/en/us/products/collateral/routers/7603-router/product_data_sheet09186a0080088771.html
CISCO7204VXR,EOL,2012,Cisco,7200,7204VXR,Datacentre,Router,Router,,,,,,,,,,,,,,4,,,,,,,,,,,2,,,,,1800,,,,,,,,,,,,,,,,,,RF,,http://www.cisco.com/c/en/us/products/routers/7204vxr-router/index.html
CISCO7206VXR,EOL,2012,Cisco,7200,7206VXR,Datacentre,Router,Router,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,1800,,,,,,,,,,,,,,,,,,RF,,http://www.cisco.com/c/en/us/products/routers/7206vxr-router/index.html
CISCO7201,EOL,2012,Cisco,7200,7201,Datacentre,Router,Router,,,,,,,,,,4,10/100/1000,4,10/100/1000,1,2,,,,1,,,,,,2,1000,2000,64,256,1800,,,,,,,,,,YES,,YES,,,,,,RF,,http://www.cisco.com/c/en/us/products/collateral/routers/7201-router/product_data_sheet0900aecd80630b58.html
CISCO7603-S,OK,2016,Cisco,7600,7603-S,Datacentre,Router,Router,12.2(33)SRB1,,,,4,,,,,2,10/100/1000,1,,3,,,,,,,,,,,96,,,,,240000,240000,,,,,,,,,YES,YES,,,,,,,"$2,500",,http://www.cisco.com/c/en/us/products/collateral/routers/7603-router/product_data_sheet0900aecd805f7ba3.html
L-CSR-10M-AX=,OK,2016,Cisco,1000V,AX,Virtual,,,XE 3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5000,,,,,,,,,YES,,YES,,,,,,"$2,933",,http://www.cisco.com/c/en/us/products/collateral/routers/cloud-services-router-1000v-series/datasheet-c78-733443.html
A900-RSP2A-64,OK,2016,Cisco,903,RSP2A-64,Service Provider,Edge,ASR,3.12.0S,,,,,,,,,24,10/100/1000,6,10/100/1000/10GB,,,,,,,,,,,,,4000,,2000,,,64000,,,,,,,,,,,YES,,,,,,"$8,372",,http://www.cisco.com/c/en/us/products/collateral/routers/asr-903-series-aggregation-services-routers/data_sheet_c78-715296.html
ISR4431/K9 (PERF),OK,2016,Cisco,4000,4431,Branch,ISR,ISR,,,,,1,250,,,,,10/100/1000,3,,4,2,2,1,,2,,,,,,,8000,32000,4000,16000,500,500,1200,350,,3000,,,,720,YES,YES,YES,,,YES,,,"$11,876",CE,http://www.cisco.com/c/en/us/products/collateral/routers/4000-series-integrated-services-routers-isr/datasheet-c78-732542.html
A900-RSP2A-128,OK,2016,Cisco,903,RSP2A-128,Service Provider,Edge,ASR,3.12.0S,,,,,,,,,48,10/100/1000,12,10/100/1000/10GB,,,,,,,,,,,,,4000,,2000,,,64000,,,,,,,,,,,YES,,,,,,"$12,557",,http://www.cisco.com/c/en/us/products/collateral/routers/asr-903-series-aggregation-services-routers/data_sheet_c78-715296.html
A903-RSP1A-55,OK,2016,Cisco,903,RSP1A-55,Service Provider,Edge,ASR,3.5.0S,,,,,,,,,47,10/100/1000,4,10/100/1000/10GB,,,,,,,,,,,,,2000,,2000,,,55000,,,,,,,,,,,YES,,,,,,"$13,757",,http://www.cisco.com/c/en/us/products/collateral/routers/asr-903-series-aggregation-services-routers/data_sheet_c78-715296.html
CISCO3945E/K9   ,OK,2016,Cisco,3900,3945E,Branch,ISR,ISR,15.0(1)M,,,,3,,,,,4,10/100/1000,3,10/100/1000,3,2,2,4,,,,,,3,,,1000,2000,256,4000,150,500,1500,450,,2500,,,,,YES,YES,,,,YES,,WLC,"$19,500",CE,http://www.cisco.com/c/en/us/products/routers/3945e-integrated-services-router-isr/index.html
ISR4451-X/K9,OK,2016,Cisco,4000,4451,Branch,ISR,ISR,,IP Base,,,2,500,,,,,10/100/1000,3,,4,2,2,1,,2,,,,,,,8000,32000,4000,16000,1000,1000,2000,450,,6000,,,,1200,YES,YES,YES,,,YES,,,"$19,561",CE,http://www.cisco.com/c/en/us/products/collateral/routers/4000-series-integrated-services-routers-isr/datasheet-c78-732542.html
ASR1001-X,OK,2016,Cisco,1000,1001-X,Datacentre,ASR,ASR,XE 3.12.0,IP Base,,,1,,,,,,,6,,2,,6,,,,,,,,,,,8000,,1000,1000,1000,,,,,,,8000,,YES,,YES,,,YES,,,"$23,137",CE,http://www.cisco.com/c/en/us/products/collateral/routers/asr-1000-series-aggregation-services-routers/datasheet-c78-731632.html
NCS-5508,OK,2016,Cisco,5500,5508,WAN Aggregation,Network Convergence,,XR 6.0,,,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,28000000,,,,,,,,,,,,,,YES,,,"$25,573",,http://www.cisco.com/c/en/us/products/collateral/routers/network-convergence-system-5500-series/datasheet-c78-736270.html?cachemode=refresh
A903-RSP1B-55,OK,2016,Cisco,903,RSP1B-55,Service Provider,Edge,ASR,3.5.0S,,,,,,,,,47,10/100/1000,4,10/100/1000/10GB,,,,,,,,,,,,,4000,,2000,,,55000,,,,,,,,,,,YES,,,,,,"$27,515",,http://www.cisco.com/c/en/us/products/collateral/routers/asr-903-series-aggregation-services-routers/data_sheet_c78-715296.html
A900-RSP3C-400-S,OK,2016,Cisco,903,RSP3C-400,Service Provider,Edge,ASR,3.16.1S,,,,,,,,,48,10/100/1000,48,10/100/1000/10GB,,,,,,,,,,,,,8000,,8000,,,480000,,,,,,,,,,,YES,,,,,,"$32,000",Non Wide,http://www.cisco.com/c/en/us/products/collateral/routers/asr-903-series-aggregation-services-routers/data_sheet_c78-715296.html
A900-RSP3C-400-W,OK,2016,Cisco,903,RSP3C-400,Service Provider,Edge,ASR,3.16.1S,,,,,,,,,48,10/100/1000,48,10/100/1000/10GB,,,,,,,,,,,,,8000,,8000,,,480000,,,,,,,,,,,YES,,,,,,"$32,000",Wide,http://www.cisco.com/c/en/us/products/collateral/routers/asr-903-series-aggregation-services-routers/data_sheet_c78-715296.html
WS-C6503-E,OK,2016,Catalyst,6500-E,6503-E,Datacentre,Switch,Switch,,,,,4,,,,,,,,,3,,,,,,,,,,,,,,,,240000,240000,,,,,,,,,,,,,,,,,"$34,126",,http://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/data_sheet_c78-708665.html
